time_s,v_solar_mV,v_battery_mV,v_supercap_mV,i_input_mA,i_output_mA,p_input_mW,p_output_mW,e_input_mJ,e_output_mJ,efficiency_pct,sc_soc_pct,sc_energy_mJ,session_s
0.0,0,11760,2000,3,0,0,0,0,0,0,0,100023,0
10.0,0,11760,2000,3,0,0,0,0,0,0,0,100046,10
20.0,0,11760,2000,3,0,0,0,0,0,0,0,100069,20
30.0,0,11760,2000,3,0,0,0,0,0,0,0,100092,30
40.0,0,11760,2001,3,0,0,0,0,0,0,0,100115,40
50.0,0,11760,2001,3,0,0,0,0,0,0,0,100139,50
60.0,0,11760,2001,3,0,0,0,0,0,0,0,100162,60
70.0,0,11760,2001,3,0,0,0,0,0,0,0,100186,70
80.0,0,11760,2002,3,0,0,0,0,0,0,0,100209,80
90.0,0,11760,2002,3,0,0,0,0,0,0,0,100233,90
100.0,0,11760,2002,3,0,0,0,0,0,0,0,100256,100
110.0,0,11760,2002,3,0,0,0,0,0,0,0,100280,110
120.0,0,11760,2003,3,0,0,0,0,0,0,0,100304,120
130.0,0,11760,2003,1,0,0,0,0,0,0,0,100313,130
140.0,0,11760,2003,1,0,0,0,0,0,0,0,100323,140
150.0,0,11760,2003,1,0,0,0,0,0,0,0,100332,150
160.0,0,11760,2003,1,0,0,0,0,0,0,0,100341,160
170.0,0,11760,2003,1,0,0,0,0,0,0,0,100351,170
180.0,0,11760,2003,1,0,0,0,0,0,0,0,100360,180
190.0,0,11760,2003,1,0,0,0,0,0,0,0,100370,190
200.0,0,11760,2003,1,0,0,0,0,0,0,0,100379,200
210.0,0,11760,2003,1,0,0,0,0,0,0,0,100389,210
220.0,0,11760,2003,1,0,0,0,0,0,0,0,100398,220
230.0,0,11760,2004,1,0,0,0,0,0,0,0,100408,230
240.0,0,11760,2004,1,0,0,0,0,0,0,0,100417,240
250.0,0,11760,2004,1,0,0,0,0,0,0,0,100427,250
260.0,0,11760,2004,1,0,0,0,0,0,0,0,100436,260
270.0,0,11760,2004,1,0,0,0,0,0,0,0,100446,270
280.0,0,11760,2004,1,0,0,0,0,0,0,0,100456,280
290.0,0,11760,2004,1,0,0,0,0,0,0,0,100465,290
300.0,0,11760,2004,1,0,0,0,0,0,0,0,100475,300
310.0,0,11760,2004,1,0,0,0,0,0,0,0,100485,310
320.0,0,11760,2004,1,0,0,0,0,0,0,0,100495,320
330.0,0,11760,2005,1,0,0,0,0,0,0,0,100505,330
340.0,0,11760,2005,1,0,0,0,0,0,0,0,100514,340
350.0,0,11760,2005,1,0,0,0,0,0,0,0,100524,350
360.0,0,11760,2005,1,0,0,0,0,0,0,0,100534,360
370.0,0,11760,2005,1,0,0,0,0,0,0,0,100544,370
380.0,0,11760,2005,1,0,0,0,0,0,0,0,100554,380
390.0,0,11760,2005,1,0,0,0,0,0,0,0,100564,390
400.0,0,11760,2005,1,0,0,0,0,0,0,0,100574,400
410.0,0,11760,2005,1,0,0,0,0,0,0,0,100584,410
420.0,0,11760,2005,1,0,0,0,0,0,0,0,100594,420
430.0,0,11760,2006,1,0,0,0,0,0,0,0,100604,430
440.0,0,11760,2006,4,0,0,0,0,0,0,0,100630,440
450.0,0,11760,2006,4,0,0,0,0,0,0,0,100656,450
460.0,0,11760,2006,4,0,0,0,0,0,0,0,100682,460
470.0,0,11760,2007,4,0,0,0,0,0,0,0,100709,470
480.0,0,11760,2007,4,0,0,0,0,0,0,0,100735,480
490.0,0,11760,2007,4,0,0,0,0,0,0,0,100761,490
500.0,0,11760,2007,4,0,0,0,0,0,0,0,100788,500
510.0,0,11760,2008,4,0,0,0,0,0,0,0,100814,510
520.0,0,11760,2008,4,0,0,0,0,0,0,0,100841,520
530.0,0,11760,2008,4,0,0,0,0,0,0,0,100868,530
540.0,0,11760,2008,4,0,0,0,0,0,0,0,100894,540
550.0,0,11760,2009,4,0,0,0,0,0,0,0,100921,550
560.0,0,11760,2009,4,0,0,0,0,0,0,0,100948,560
570.0,0,11760,2009,4,0,0,0,0,0,0,0,100975,570
580.0,0,11760,2010,4,0,0,0,0,0,0,0,101002,580
590.0,0,11760,2010,4,0,0,0,0,0,0,0,101029,590
600.0,0,11760,2010,4,0,0,0,0,0,0,0,101057,600
610.0,0,11760,2010,4,0,0,0,0,0,0,0,101084,610
620.0,0,11760,2011,4,0,0,0,0,0,0,0,101111,620
630.0,0,11760,2011,4,0,0,0,0,0,0,0,101139,630
640.0,0,11760,2011,4,0,0,0,0,0,0,0,101166,640
650.0,0,11760,2011,4,0,0,0,0,0,0,0,101194,650
660.0,0,11760,2012,4,0,0,0,0,0,0,0,101222,660
670.0,0,11760,2012,4,0,0,0,0,0,0,0,101249,670
680.0,0,11760,2012,4,0,0,0,0,0,0,0,101277,680
690.0,0,11760,2013,4,0,0,0,0,0,0,0,101305,690
700.0,0,11760,2013,4,0,0,0,0,0,0,0,101333,700
710.0,0,11760,2013,4,0,0,0,0,0,0,0,101361,710
720.0,0,11760,2013,4,0,0,0,0,0,0,0,101389,720
730.0,0,11760,2014,4,0,0,0,0,0,0,0,101418,730
740.0,0,11760,2014,4,0,0,0,0,0,0,0,101446,740
750.0,0,11760,2014,4,0,0,0,0,0,0,0,101474,750
760.0,0,11760,2014,4,0,0,0,0,0,0,0,101503,760
770.0,0,11760,2015,4,0,0,0,0,0,0,0,101531,770
780.0,0,11760,2015,4,0,0,0,0,0,0,0,101560,780
790.0,0,11760,2015,4,0,0,0,0,0,0,0,101589,790
800.0,0,11760,2016,4,0,0,0,0,0,0,0,101618,800
810.0,0,11760,2016,4,0,0,0,0,0,0,0,101646,810
820.0,0,11760,2016,4,0,0,0,0,0,0,0,101675,820
830.0,0,11760,2016,4,0,0,0,0,0,0,0,101704,830
840.0,0,11760,2017,4,0,0,0,0,0,0,0,101734,840
850.0,0,11760,2017,4,0,0,0,0,0,0,0,101763,850
860.0,0,11760,2017,4,0,0,0,0,0,0,0,101792,860
870.0,0,11760,2018,4,0,0,0,0,0,0,0,101821,870
880.0,0,11760,2018,4,0,0,0,0,0,0,0,101851,880
890.0,0,11760,2018,4,0,0,0,0,0,0,0,101880,890
900.0,0,11760,2019,4,0,0,0,0,0,0,0,101910,900
910.0,0,11760,2019,4,0,0,0,0,0,0,0,101940,910
920.0,0,11760,2019,4,0,0,0,0,0,0,0,101970,920
930.0,0,11760,2019,4,0,0,0,0,0,0,0,101999,930
940.0,0,11760,2020,4,0,0,0,0,0,0,0,102029,940
950.0,0,11760,2020,4,0,0,0,0,0,0,0,102059,950
960.0,0,11760,2020,4,0,0,0,0,0,0,0,102090,960
970.0,0,11760,2021,4,0,0,0,0,0,0,0,102120,970
980.0,0,11760,2021,4,0,0,0,0,0,0,0,102150,980
990.0,0,11760,2021,5,0,0,0,0,0,0,0,102180,990
1000.0,0,11760,2021,5,0,0,0,0,0,0,0,102211,1000
1010.0,0,11760,2022,5,0,0,0,0,0,0,0,102241,1010
1020.0,0,11760,2022,5,0,0,0,0,0,0,0,102272,1020
1030.0,0,11760,2022,5,0,0,0,0,0,0,0,102303,1030
1040.0,0,11760,2023,5,0,0,0,0,0,0,0,102334,1040
1050.0,0,11760,2023,5,0,0,0,0,0,0,0,102365,1050
1060.0,0,11760,2023,5,0,0,0,0,0,0,0,102396,1060
1070.0,0,11760,2024,5,0,0,0,0,0,0,0,102427,1070
1080.0,0,11760,2024,5,0,0,0,0,0,0,0,102458,1080
1090.0,0,11760,2024,5,0,0,0,0,0,0,0,102489,1090
1100.0,0,11760,2025,5,0,0,0,0,0,0,0,102520,1100
1110.0,0,11760,2025,5,0,0,0,0,0,0,0,102552,1110
1120.0,0,11760,2025,5,0,0,0,0,0,0,0,102583,1120
1130.0,0,11760,2025,5,0,0,0,0,0,0,0,102615,1130
1140.0,0,11760,2026,5,0,0,0,0,0,0,0,102647,1140
1150.0,0,11760,2026,5,0,0,0,0,0,0,0,102678,1150
1160.0,0,11760,2026,5,0,0,0,0,0,0,0,102710,1160
1170.0,0,11760,2027,5,0,0,0,0,0,0,0,102742,1170
1180.0,0,11760,2027,5,0,0,0,0,0,0,0,102774,1180
1190.0,0,11760,2027,2,0,0,0,0,0,0,0,102788,1190
1200.0,0,11760,2027,2,0,0,0,0,0,0,0,102802,1200
1210.0,0,11760,2027,2,0,0,0,0,0,0,0,102816,1210
1220.0,0,11760,2028,2,0,0,0,0,0,0,0,102829,1220
1230.0,0,11760,2028,2,0,0,0,0,0,0,0,102843,1230
1240.0,0,11760,2028,2,0,0,0,0,0,0,0,102857,1240
1250.0,0,11760,2028,2,0,0,0,0,0,0,0,102871,1250
1260.0,0,11760,2028,2,0,0,0,0,0,0,0,102885,1260
1270.0,0,11760,2028,2,0,0,0,0,0,0,0,102899,1270
1280.0,0,11760,2028,2,0,0,0,0,0,0,0,102913,1280
1290.0,0,11760,2029,2,0,0,0,0,0,0,0,102928,1290
1300.0,0,11760,2029,2,0,0,0,0,0,0,0,102942,1300
1310.0,0,11760,2029,2,0,0,0,0,0,0,0,102956,1310
1320.0,0,11760,2029,2,0,0,0,0,0,0,0,102970,1320
1330.0,0,11760,2029,2,0,0,0,0,0,0,0,102985,1330
1340.0,0,11760,2029,2,0,0,0,0,0,0,0,102999,1340
1350.0,0,11760,2029,2,0,0,0,0,0,0,0,103013,1350
1360.0,0,11760,2030,2,0,0,0,0,0,0,0,103028,1360
1370.0,0,11760,2030,2,0,0,0,0,0,0,0,103042,1370
1380.0,0,11760,2030,2,0,0,0,0,0,0,0,103057,1380
1390.0,0,11760,2030,2,0,0,0,0,0,0,0,103071,1390
1400.0,0,11760,2030,2,0,0,0,0,0,0,0,103086,1400
1410.0,0,11760,2030,2,0,0,0,0,0,0,0,103100,1410
1420.0,0,11760,2030,2,0,0,0,0,0,0,0,103115,1420
1430.0,0,11760,2031,2,0,0,0,0,0,0,0,103130,1430
1440.0,0,11760,2031,2,0,0,0,0,0,0,0,103144,1440
1450.0,0,11760,2031,2,0,0,0,0,0,0,0,103159,1450
1460.0,0,11760,2031,2,0,0,0,0,0,0,0,103174,1460
1470.0,0,11760,2031,2,0,0,0,0,0,0,0,103189,1470
1480.0,0,11760,2031,2,0,0,0,0,0,0,0,103204,1480
