time_s,v_solar_mV,v_battery_mV,v_supercap_mV,i_input_mA,i_output_mA,p_input_mW,p_output_mW,e_input_mJ,e_output_mJ,efficiency_pct,sc_soc_pct,sc_energy_mJ,session_s
0.0,0,12020,3000,3,0,0,0,0,0,0,4,225034,0
10.0,0,12020,3000,3,0,0,0,0,0,0,4,225069,10
20.0,0,12020,3000,1,0,0,0,0,0,0,4,225084,20
30.0,0,12020,3000,1,0,0,0,0,0,0,4,225099,30
40.0,0,12020,3000,1,0,0,0,0,0,0,4,225114,40
50.0,0,12020,3000,1,0,0,0,0,0,0,4,225129,50
60.0,0,12020,3000,1,0,0,0,0,0,0,4,225145,60
70.0,0,12020,3001,1,0,0,0,0,0,0,4,225160,70
80.0,0,12020,3001,1,0,0,0,0,0,0,4,225175,80
90.0,0,12020,3001,1,0,0,0,0,0,0,4,225191,90
100.0,0,12020,3001,1,0,0,0,0,0,0,4,225206,100
110.0,0,12020,3001,1,0,0,0,0,0,0,4,225221,110
120.0,0,12020,3001,1,0,0,0,0,0,0,4,225237,120
130.0,0,12020,3001,3,0,0,0,0,0,0,4,225273,130
140.0,0,12020,3002,3,0,0,0,0,0,0,4,225309,140
150.0,0,12020,3002,3,0,0,0,0,0,0,4,225345,150
160.0,0,12020,3002,4,0,0,0,0,0,0,4,225381,160
170.0,0,12020,3002,4,0,0,0,0,0,0,4,225417,170
180.0,0,12020,3003,4,0,0,0,0,0,0,4,225453,180
190.0,0,12020,3003,1,0,0,0,0,0,0,4,225463,190
200.0,0,12020,3003,1,0,0,0,0,0,0,4,225472,200
210.0,0,12020,3003,1,0,0,0,0,0,0,4,225481,210
220.0,0,12020,3003,1,0,0,0,0,0,0,4,225491,220
230.0,0,12020,3003,1,0,0,0,0,0,0,4,225500,230
240.0,0,12020,3003,1,0,0,0,0,0,0,4,225510,240
250.0,0,12020,3003,1,0,0,0,0,0,0,4,225519,250
260.0,0,12020,3003,1,0,0,0,0,0,0,4,225529,260
270.0,0,12020,3003,1,0,0,0,0,0,0,4,225539,270
280.0,0,12020,3003,1,0,0,0,0,0,0,4,225548,280
290.0,0,12020,3003,1,0,0,0,0,0,0,4,225558,290
300.0,0,12020,3003,1,0,0,0,0,0,0,4,225567,300
310.0,0,12020,3003,1,0,0,0,0,0,0,4,225577,310
320.0,0,12020,3003,1,0,0,0,0,0,0,4,225587,320
330.0,0,12020,3003,1,0,0,0,0,0,0,4,225597,330
340.0,0,12020,3004,1,0,0,0,0,0,0,4,225606,340
350.0,0,12020,3004,1,0,0,0,0,0,0,4,225616,350
360.0,0,12020,3004,1,0,0,0,0,0,0,4,225626,360
370.0,0,12020,3004,1,0,0,0,0,0,0,4,225636,370
380.0,0,12020,3004,1,0,0,0,0,0,0,4,225646,380
390.0,0,12020,3004,1,0,0,0,0,0,0,4,225656,390
400.0,0,12020,3004,1,0,0,0,0,0,0,4,225665,400
410.0,0,12020,3004,1,0,0,0,0,0,0,4,225675,410
420.0,0,12020,3004,1,0,0,0,0,0,0,4,225685,420
430.0,0,12020,3004,1,0,0,0,0,0,0,4,225695,430
440.0,0,12020,3004,1,0,0,0,0,0,0,4,225705,440
450.0,0,12020,3004,1,0,0,0,0,0,0,4,225715,450
460.0,0,12020,3004,1,0,0,0,0,0,0,4,225726,460
470.0,0,12020,3004,1,0,0,0,0,0,0,4,225736,470
480.0,0,12020,3004,1,0,0,0,0,0,0,4,225746,480
490.0,0,12020,3005,4,0,0,0,0,0,0,4,225785,490
500.0,0,12020,3005,4,0,0,0,0,0,0,4,225825,500
510.0,0,12020,3005,4,0,0,0,0,0,0,4,225865,510
520.0,0,12020,3006,4,0,0,0,0,0,0,4,225905,520
530.0,0,12020,3006,4,0,0,0,0,0,0,4,225944,530
540.0,0,12020,3006,4,0,0,0,0,0,0,4,225985,540
550.0,0,12020,3006,1,0,0,0,0,0,0,4,225996,550
560.0,0,12020,3006,1,0,0,0,0,0,0,4,226008,560
570.0,0,12020,3006,1,0,0,0,0,0,0,4,226019,570
580.0,0,12020,3006,1,0,0,0,0,0,0,4,226031,580
590.0,0,12020,3006,1,0,0,0,0,0,0,4,226042,590
600.0,0,12020,3007,1,0,0,0,0,0,0,4,226054,600
610.0,0,12020,3007,1,0,0,0,0,0,0,4,226066,610
620.0,0,12020,3007,1,0,0,0,0,0,0,4,226077,620
630.0,0,12020,3007,4,0,0,0,0,0,0,4,226118,630
640.0,0,12020,3007,4,0,0,0,0,0,0,4,226160,640
650.0,0,12020,3007,4,0,0,0,0,0,0,4,226201,650
660.0,0,12020,3008,4,0,0,0,0,0,0,4,226242,660
670.0,0,12020,3008,4,0,0,0,0,0,0,4,226284,670
