time_s,v_solar_mV,v_battery_mV,v_supercap_mV,i_input_mA,i_output_mA,p_input_mW,p_output_mW,e_input_mJ,e_output_mJ,efficiency_pct,sc_soc_pct,sc_energy_mJ,session_s
0.0,0,11565,2000,3,0,0,0,0,0,0,0,100069,0
30.0,0,11565,2001,3,0,0,0,0,0,0,0,100138,30
60.0,0,11565,2002,3,0,0,0,0,0,0,0,100209,60
90.0,0,11565,2002,3,0,0,0,0,0,0,0,100279,90
120.0,0,11565,2003,3,0,0,0,0,0,0,0,100351,120
150.0,0,11565,2004,3,0,0,0,0,0,0,0,100423,150
180.0,0,11565,2004,4,0,0,0,0,0,0,0,100496,180
210.0,0,11565,2005,4,0,0,0,0,0,0,0,100569,210
240.0,0,11565,2006,4,0,0,0,0,0,0,0,100643,240
270.0,0,11565,2007,4,0,0,0,0,0,0,0,100718,270
300.0,0,11565,2007,4,0,0,0,0,0,0,0,100793,300
330.0,0,11565,2008,4,0,0,0,0,0,0,0,100869,330
360.0,0,11565,2009,4,0,0,0,0,0,0,0,100945,360
390.0,0,11565,2010,4,0,0,0,0,0,0,0,101022,390
420.0,0,11565,2010,4,0,0,0,0,0,0,0,101100,420
450.0,0,11565,2011,4,0,0,0,0,0,0,0,101179,450
480.0,0,11565,2012,4,0,0,0,0,0,0,0,101258,480
510.0,0,11565,2013,4,0,0,0,0,0,0,0,101338,510
540.0,0,11565,2014,4,0,0,0,0,0,0,0,101418,540
570.0,0,11565,2014,4,0,0,0,0,0,0,0,101499,570
600.0,0,11565,2015,4,0,0,0,0,0,0,0,101581,600
630.0,0,11565,2016,4,0,0,0,0,0,0,0,101664,630
660.0,0,11565,2017,4,0,0,0,0,0,0,0,101747,660
690.0,0,11565,2018,4,0,0,0,0,0,0,0,101831,690
720.0,0,11565,2019,4,0,0,0,0,0,0,0,101916,720
750.0,0,11565,2019,4,0,0,0,0,0,0,0,102001,750
780.0,0,11565,2020,4,0,0,0,0,0,0,0,102087,780
810.0,0,11565,2021,4,0,0,0,0,0,0,0,102174,810
840.0,0,11565,2022,4,0,0,0,0,0,0,0,102262,840
870.0,0,11565,2023,4,0,0,0,0,0,0,0,102350,870
900.0,0,11565,2024,4,0,0,0,0,0,0,0,102439,900
930.0,0,11565,2025,4,0,0,0,0,0,0,0,102529,930
960.0,0,11565,2026,4,0,0,0,0,0,0,0,102620,960
990.0,0,11565,2026,5,0,0,0,0,0,0,0,102711,990
1020.0,0,11565,2027,5,0,0,0,0,0,0,0,102803,1020
1050.0,0,11565,2028,5,0,0,0,0,0,0,0,102896,1050
1080.0,0,11565,2029,5,0,0,0,0,0,0,0,102990,1080
1110.0,0,11565,2030,5,0,0,0,0,0,0,0,103084,1110
1140.0,0,11565,2031,5,0,0,0,0,0,0,0,103179,1140
1170.0,0,11565,2032,5,0,0,0,0,0,0,0,103276,1170
1200.0,0,11565,2033,5,0,0,0,0,0,0,0,103372,1200
1230.0,0,11565,2034,5,0,0,0,0,0,0,0,103470,1230
1260.0,0,11565,2035,5,0,0,0,0,0,0,0,103569,1260
1290.0,0,11565,2036,5,0,0,0,0,0,0,0,103668,1290
1320.0,0,11565,2037,5,0,0,0,0,0,0,0,103768,1320
1350.0,0,11565,2038,5,0,0,0,0,0,0,0,103869,1350
1380.0,0,11565,2039,5,0,0,0,0,0,0,0,103971,1380
1410.0,0,11565,2040,5,0,0,0,0,0,0,0,104074,1410
1440.0,0,11565,2041,5,0,0,0,0,0,0,0,104178,1440
1470.0,0,11565,2042,5,0,0,0,0,0,0,0,104282,1470
1500.0,0,11565,2043,5,0,0,0,0,0,0,0,104388,1500
1530.0,0,11565,2044,5,0,0,0,0,0,0,0,104494,1530
1560.0,0,11565,2045,5,0,0,0,0,0,0,0,104601,1560
1590.0,0,11565,2046,5,0,0,0,0,0,0,0,104709,1590
1620.0,0,11565,2047,5,0,0,0,0,0,0,0,104818,1620
1650.0,0,11565,2048,5,0,0,0,0,0,0,0,104928,1650
1680.0,0,11565,2049,6,0,0,0,0,0,0,0,105039,1680
1710.0,0,11565,2050,6,0,0,0,0,0,0,0,105151,1710
1740.0,0,11565,2051,6,0,0,0,0,0,0,0,105263,1740
1770.0,0,11565,2053,6,0,0,0,0,0,0,0,105377,1770
1800.0,0,11565,2054,6,0,0,0,0,0,0,0,105492,1800
1830.0,0,11565,2055,6,0,0,0,0,0,0,0,105607,1830
1860.0,0,11565,2056,6,0,0,0,0,0,0,0,105724,1860
1890.0,0,11565,2057,6,0,0,0,0,0,0,0,105841,1890
1920.0,0,11565,2058,6,0,0,0,0,0,0,0,105960,1920
1950.0,0,11565,2059,6,0,0,0,0,0,0,0,106079,1950
1980.0,0,11565,2061,6,0,0,0,0,0,0,0,106200,1980
2010.0,0,11565,2062,6,0,0,0,0,0,0,0,106321,2010
2040.0,0,11565,2063,6,0,0,0,0,0,0,0,106444,2040
2070.0,0,11565,2064,6,0,0,0,0,0,0,0,106567,2070
2100.0,0,11565,2065,6,0,0,0,0,0,0,0,106692,2100
2130.0,0,11565,2067,6,0,0,0,0,0,0,0,106817,2130
2160.0,0,11565,2068,6,0,0,0,0,0,0,0,106944,2160
2190.0,0,11565,2069,6,0,0,0,0,0,0,0,107072,2190
2220.0,0,11565,2070,6,0,0,0,0,0,0,0,107201,2220
2250.0,0,11565,2072,6,0,0,0,0,0,0,0,107331,2250
2280.0,0,11565,2073,7,0,0,0,0,0,0,0,107462,2280
2310.0,0,11565,2074,7,0,0,0,0,0,0,0,107594,2310
2340.0,0,11565,2075,7,0,0,0,0,0,0,0,107727,2340
2370.0,0,11565,2077,7,0,0,0,0,0,0,0,107861,2370
2400.0,0,11565,2077,3,0,0,0,0,0,0,0,107927,2400
2430.0,0,11565,2078,3,0,0,0,0,0,0,0,107993,2430
2460.0,0,11565,2079,3,0,0,0,0,0,0,0,108060,2460
2490.0,0,11565,2079,3,0,0,0,0,0,0,0,108128,2490
2520.0,0,11565,2080,3,0,0,0,0,0,0,0,108196,2520
2550.0,0,11565,2081,3,0,0,0,0,0,0,0,108264,2550
2580.0,0,11565,2081,3,0,0,0,0,0,0,0,108334,2580
2610.0,0,11565,2082,3,0,0,0,0,0,0,0,108403,2610
2640.0,0,11565,2083,7,0,0,0,0,0,0,0,108548,2640
2670.0,0,11565,2085,7,0,0,0,0,0,0,0,108693,2670
2700.0,0,11565,2086,7,0,0,0,0,0,0,0,108840,2700
2730.0,0,11565,2087,7,0,0,0,0,0,0,0,108988,2730
2760.0,0,11565,2089,7,0,0,0,0,0,0,0,109137,2760
2790.0,0,11565,2090,8,0,0,0,0,0,0,0,109288,2790
2820.0,0,11565,2092,8,0,0,0,0,0,0,0,109440,2820
2850.0,0,11565,2093,8,0,0,0,0,0,0,0,109593,2850
2880.0,0,11565,2095,8,0,0,0,0,0,0,0,109747,2880
2910.0,0,11565,2096,8,0,0,0,0,0,0,0,109903,2910
2940.0,0,11565,2098,8,0,0,0,0,0,0,0,110059,2940
2970.0,0,11565,2099,8,0,0,0,0,0,0,0,110218,2970
3000.0,0,11565,2099,1,0,0,0,0,0,0,0,110244,3000
3030.0,0,11565,2100,1,0,0,0,0,0,0,0,110271,3030
3060.0,0,11565,2100,1,0,0,0,0,0,0,0,110299,3060
3090.0,0,11565,2102,8,0,0,0,0,0,0,0,110462,3090
3120.0,0,11565,2103,8,0,0,0,0,0,0,0,110627,3120
3150.0,0,11565,2105,8,0,0,0,0,0,0,0,110793,3150
3180.0,0,11565,2106,8,0,0,0,0,0,0,0,110960,3180
3210.0,0,11565,2108,8,0,0,0,0,0,0,0,111129,3210
3240.0,0,11565,2109,8,0,0,0,0,0,0,0,111299,3240
3270.0,0,11565,2111,9,0,0,0,0,0,0,0,111471,3270
3300.0,0,11565,2113,9,0,0,0,0,0,0,0,111644,3300
3330.0,0,11565,2114,9,0,0,0,0,0,0,0,111818,3330
3360.0,0,11565,2116,9,0,0,0,0,0,0,0,111994,3360
3390.0,0,11565,2118,9,0,0,0,0,0,0,0,112172,3390
3420.0,0,11565,2119,9,0,0,0,0,0,0,0,112351,3420
3450.0,0,11565,2121,9,0,0,0,0,0,0,0,112531,3450
3480.0,0,11565,2123,9,0,0,0,0,0,0,0,112713,3480
3510.0,0,11565,2125,9,0,0,0,0,0,0,0,112896,3510
3540.0,0,11565,2126,9,0,0,0,0,0,0,0,113081,3540
3570.0,0,11565,2128,9,0,0,0,0,0,0,0,113268,3570
3600.0,0,11565,2130,9,0,0,0,0,0,0,0,113456,3600
3630.0,0,11565,2132,9,0,0,0,0,0,0,0,113646,3630
3660.0,0,11565,2133,9,0,0,0,0,0,0,0,113837,3660
3690.0,0,11565,2135,10,0,0,0,0,0,0,0,114030,3690
3720.0,0,11565,2137,10,0,0,0,0,0,0,0,114224,3720
3750.0,0,11565,2139,10,0,0,0,0,0,0,0,114420,3750
3780.0,0,11565,2141,10,0,0,0,0,0,0,0,114618,3780
3810.0,0,11565,2143,10,0,0,0,0,0,0,0,114817,3810
3840.0,0,11565,2144,10,0,0,0,0,0,0,0,115018,3840
3870.0,0,11565,2146,10,0,0,0,0,0,0,0,115221,3870
3900.0,0,11565,2148,10,0,0,0,0,0,0,0,115425,3900
3930.0,0,11565,2150,10,0,0,0,0,0,0,0,115632,3930
3960.0,0,11565,2152,10,0,0,0,0,0,0,0,115839,3960
3990.0,0,11565,2154,10,0,0,0,0,0,0,0,116049,3990
4020.0,0,11565,2156,10,0,0,0,0,0,0,0,116260,4020
4050.0,0,11565,2158,10,0,0,0,0,0,0,0,116473,4050
4080.0,0,11565,2160,11,0,0,0,0,0,0,0,116688,4080
4110.0,0,11565,2162,11,0,0,0,0,0,0,0,116905,4110
4140.0,0,11565,2164,11,0,0,0,0,0,0,0,117123,4140
4170.0,0,11565,2166,11,0,0,0,0,0,0,0,117343,4170
4200.0,0,11565,2168,11,0,0,0,0,0,0,0,117565,4200
4230.0,0,11565,2170,11,0,0,0,0,0,0,0,117789,4230
4260.0,0,11565,2172,11,0,0,0,0,0,0,0,118015,4260
4290.0,0,11565,2174,11,0,0,0,0,0,0,0,118243,4290
4320.0,0,11565,2176,11,0,0,0,0,0,0,0,118473,4320
4350.0,0,11565,2179,11,0,0,0,0,0,0,0,118704,4350
4380.0,0,11565,2181,11,0,0,0,0,0,0,0,118938,4380
4410.0,0,11565,2183,11,0,0,0,0,0,0,0,119173,4410
4440.0,0,11565,2185,12,0,0,0,0,0,0,0,119410,4440
4470.0,0,11565,2187,12,0,0,0,0,0,0,0,119650,4470
4500.0,0,11565,2189,12,0,0,0,0,0,0,0,119891,4500
4530.0,0,11565,2192,12,0,0,0,0,0,0,0,120134,4530
4560.0,0,11565,2194,12,0,0,0,0,0,0,0,120380,4560
4590.0,0,11565,2196,12,0,0,0,0,0,0,0,120627,4590
4620.0,0,11565,2198,12,0,0,0,0,0,0,0,120877,4620
4650.0,0,11565,2201,12,0,0,0,0,0,0,0,121129,4650
4680.0,0,11565,2203,12,0,0,0,0,0,0,0,121382,4680
4710.0,0,11565,2205,12,0,0,0,0,0,0,0,121638,4710
4740.0,0,11565,2208,12,0,0,0,0,0,0,0,121896,4740
4770.0,0,11565,2210,13,0,0,0,0,0,0,0,122156,4770
4800.0,0,11565,2212,13,0,0,0,0,0,0,0,122419,4800
4830.0,0,11565,2215,13,0,0,0,0,0,0,0,122683,4830
4860.0,0,11565,2217,13,0,0,0,0,0,0,0,122950,4860
