time_s,v_solar_mV,v_battery_mV,v_supercap_mV,i_input_mA,i_output_mA,p_input_mW,p_output_mW,e_input_mJ,e_output_mJ,efficiency_pct,sc_soc_pct,sc_energy_mJ,session_s
0.0,0,11890,2000,9,0,0,0,0,0,0,0,100058,0
10.0,0,11890,2001,9,0,0,0,0,0,0,0,100117,10
20.0,0,11890,2001,9,0,0,0,0,0,0,0,100177,20
30.0,0,11890,2002,9,0,0,0,0,0,0,0,100236,30
40.0,0,11890,2002,9,0,0,0,0,0,0,0,100296,40
50.0,0,11890,2003,4,0,0,0,0,0,0,0,100322,50
60.0,0,11890,2003,4,0,0,0,0,0,0,0,100348,60
70.0,0,11890,2003,4,0,0,0,0,0,0,0,100374,70
80.0,0,11890,2004,4,0,0,0,0,0,0,0,100400,80
90.0,0,11890,2004,4,0,0,0,0,0,0,0,100426,90
100.0,0,11890,2004,4,0,0,0,0,0,0,0,100452,100
110.0,0,11890,2004,4,0,0,0,0,0,0,0,100479,110
120.0,0,11890,2005,10,0,0,0,0,0,0,0,100540,120
130.0,0,11890,2006,10,0,0,0,0,0,0,0,100601,130
140.0,0,11890,2006,10,0,0,0,0,0,0,0,100662,140
150.0,0,11890,2007,10,0,0,0,0,0,0,0,100723,150
160.0,0,11890,2007,10,0,0,0,0,0,0,0,100785,160
170.0,0,11890,2008,10,0,0,0,0,0,0,0,100846,170
180.0,0,11890,2009,10,0,0,0,0,0,0,0,100908,180
190.0,0,11890,2009,10,0,0,0,0,0,0,0,100970,190
200.0,0,11890,2010,10,0,0,0,0,0,0,0,101032,200
210.0,0,11890,2010,10,0,0,0,0,0,0,0,101095,210
220.0,0,11890,2011,10,0,0,0,0,0,0,0,101157,220
230.0,0,11890,2012,10,0,0,0,0,0,0,0,101220,230
240.0,0,11890,2012,10,0,0,0,0,0,0,0,101283,240
250.0,0,11890,2013,3,0,0,0,0,0,0,0,101304,250
260.0,0,11890,2013,3,0,0,0,0,0,0,0,101325,260
270.0,0,11890,2013,3,0,0,0,0,0,0,0,101347,270
280.0,0,11890,2013,3,0,0,0,0,0,0,0,101368,280
290.0,0,11890,2013,3,0,0,0,0,0,0,0,101390,290
300.0,0,11890,2014,3,0,0,0,0,0,0,0,101411,300
310.0,0,11890,2014,3,0,0,0,0,0,0,0,101433,310
320.0,0,11890,2014,3,0,0,0,0,0,0,0,101454,320
330.0,0,11890,2014,3,0,0,0,0,0,0,0,101476,330
340.0,0,11890,2014,3,0,0,0,0,0,0,0,101498,340
350.0,0,11890,2015,3,0,0,0,0,0,0,0,101519,350
360.0,0,11890,2015,3,0,0,0,0,0,0,0,101541,360
370.0,0,11890,2015,3,0,0,0,0,0,0,0,101563,370
380.0,0,11890,2015,3,0,0,0,0,0,0,0,101585,380
390.0,0,11890,2016,3,0,0,0,0,0,0,0,101607,390
400.0,0,11890,2016,3,0,0,0,0,0,0,0,101629,400
410.0,0,11890,2016,3,0,0,0,0,0,0,0,101651,410
420.0,0,11890,2016,3,0,0,0,0,0,0,0,101673,420
430.0,0,11890,2016,3,0,0,0,0,0,0,0,101696,430
440.0,0,11890,2017,3,0,0,0,0,0,0,0,101718,440
450.0,0,11890,2017,3,0,0,0,0,0,0,0,101740,450
460.0,0,11890,2017,3,0,0,0,0,0,0,0,101763,460
470.0,0,11890,2017,3,0,0,0,0,0,0,0,101785,470
480.0,0,11890,2017,3,0,0,0,0,0,0,0,101808,480
490.0,0,11890,2018,3,0,0,0,0,0,0,0,101830,490
500.0,0,11890,2018,3,0,0,0,0,0,0,0,101853,500
510.0,0,11890,2018,3,0,0,0,0,0,0,0,101875,510
520.0,0,11890,2018,3,0,0,0,0,0,0,0,101898,520
530.0,0,11890,2019,3,0,0,0,0,0,0,0,101921,530
540.0,0,11890,2019,3,0,0,0,0,0,0,0,101944,540
