time_s,v_solar_mV,v_battery_mV,v_supercap_mV,i_input_mA,i_output_mA,p_input_mW,p_output_mW,e_input_mJ,e_output_mJ,efficiency_pct,sc_soc_pct,sc_energy_mJ,session_s
0.0,15885,11901,2056,948,942,15072,11212,75364,56060,74,0,105773,0
10.0,12938,11782,2067,179,145,2325,1712,162356,120683,73,0,106885,10
20.0,12939,11782,2078,179,145,2326,1713,185617,137813,73,0,108004,20
30.0,12939,11782,2089,179,145,2328,1714,208895,154955,73,0,109129,30
40.0,12940,11782,2100,180,145,2330,1716,232190,172110,73,0,110261,40
50.0,12940,11782,2110,180,145,2331,1717,255502,189277,73,0,111399,50
60.0,12941,11782,2121,180,145,2333,1718,278830,206456,73,0,112544,60
70.0,12941,11782,2132,180,145,2335,1719,302175,223648,73,0,113695,70
80.0,12941,11782,2143,180,146,2336,1721,325536,240852,73,0,114854,80
90.0,12942,11783,2154,180,146,2338,1722,348914,258069,73,0,116018,90
100.0,12942,11783,2165,180,146,2340,1723,372309,275298,73,0,117190,100
110.0,12943,11783,2175,180,146,2341,1724,395720,292539,73,0,118368,110
120.0,12943,11783,2186,181,146,2343,1725,419148,309793,73,0,119553,120
130.0,12944,11783,2197,181,146,2345,1727,442593,327059,73,0,120745,130
140.0,12944,11783,2208,181,146,2346,1728,466054,344337,73,0,121943,140
150.0,12945,11783,2219,181,146,2348,1729,489532,361628,73,0,123148,150
160.0,12945,11783,2230,181,146,2350,1730,513026,378931,73,0,124360,160
170.0,12946,11783,2241,181,146,2351,1732,536537,396246,73,0,125578,170
180.0,12946,11783,2252,181,147,2353,1733,560064,413574,73,0,126803,180
190.0,12947,11784,2263,181,147,2355,1734,583608,430914,73,0,128036,190
200.0,12947,11784,2273,182,147,2356,1735,607169,448267,73,1,129274,200
210.0,12948,11784,2284,182,147,2358,1737,630746,465632,73,1,130520,210
220.0,15940,11906,2342,962,959,15350,11422,719290,531432,74,1,137204,220
230.0,15942,11907,2400,963,960,15362,11432,872854,645710,74,1,144060,230
240.0,15945,11907,2458,964,960,15375,11442,1026545,760089,74,1,151088,240
250.0,15947,11908,2516,964,961,15387,11452,1180361,874566,74,2,158288,250
260.0,15950,11908,2574,965,962,15400,11462,1334303,989144,74,2,165661,260
270.0,13368,11801,2591,291,243,3902,2878,1430819,1060850,73,2,167923,270
280.0,13369,11801,2609,292,244,3905,2880,1469860,1089646,73,2,170202,280
290.0,13370,11801,2626,292,244,3908,2882,1508929,1118463,73,2,172498,290
300.0,13370,11801,2644,292,244,3911,2884,1548025,1147301,73,2,174810,300
310.0,13371,11801,2661,292,244,3913,2886,1587150,1176160,73,2,177140,310
320.0,13372,11802,2679,292,244,3916,2889,1626303,1205040,73,2,179487,320
330.0,13373,11802,2697,293,244,3919,2891,1665484,1233941,73,2,181850,330
340.0,13373,11802,2714,293,245,3922,2893,1704693,1262863,73,2,184231,340
350.0,13374,11802,2732,293,245,3925,2895,1743930,1291806,73,3,186629,350
360.0,13375,11802,2749,293,245,3927,2897,1783195,1320770,73,3,189044,360
370.0,13376,11802,2767,293,245,3930,2899,1822487,1349755,73,3,191476,370
380.0,13376,11802,2785,294,245,3933,2901,1861808,1378761,73,3,193925,380
390.0,13377,11803,2802,294,246,3936,2903,1901157,1407789,73,3,196391,390
